rup_id	involved_faults
0	0 
1	1 
2	2 
3	3 
4	4 
5	5 
6	6 
7	7 
8	8 
9	9 
10	10 
11	11 
12	12 
13	13 
14	14 
15	15 
16	16 
17	17 
18	18 
19	19 
20	20 
21	0 4 
22	1 2 
23	1 5 
24	1 6 
25	1 16 
26	2 3 
27	2 6 
28	2 7 
29	3 6 
30	3 7 
31	3 15 
32	4 5 
33	4 8 
34	5 6 
35	5 8 
36	6 7 
37	7 9 
38	7 15 
39	8 14 
40	8 16 
41	9 10 
42	10 11 
43	12 13 
44	12 19 
45	13 14 
46	13 19 
47	14 16 
48	15 20 
49	17 18 
50	18 19 
51	0 4 5 
52	0 4 8 
53	1 2 3 
54	1 2 5 
55	1 2 6 
56	1 2 7 
57	1 2 16 
58	1 3 6 
59	1 4 5 
60	1 5 6 
61	1 5 8 
62	1 5 16 
63	1 6 7 
64	1 6 16 
65	1 8 16 
66	1 14 16 
67	2 3 6 
68	2 3 7 
69	2 3 15 
70	2 5 6 
71	2 6 7 
72	2 7 9 
73	2 7 15 
74	3 5 6 
75	3 6 7 
76	3 6 15 
77	3 7 9 
78	3 7 15 
79	3 15 20 
80	4 5 6 
81	4 5 8 
82	4 8 14 
83	4 8 16 
84	5 6 7 
85	5 6 8 
86	5 8 14 
87	5 8 16 
88	6 7 9 
89	6 7 15 
90	7 9 10 
91	7 9 15 
92	7 15 20 
93	8 13 14 
94	8 14 16 
95	9 10 11 
96	12 13 14 
97	12 13 19 
98	12 18 19 
99	13 14 16 
100	13 14 19 
101	13 18 19 
102	17 18 19 
103	0 1 4 5 
104	0 4 5 6 
105	0 4 5 8 
106	0 4 8 14 
107	0 4 8 16 
108	1 2 3 5 
109	1 2 3 6 
110	1 2 3 7 
111	1 2 3 15 
112	1 2 3 16 
113	1 2 4 5 
114	1 2 5 6 
115	1 2 5 7 
116	1 2 5 8 
117	1 2 5 16 
118	1 2 6 7 
119	1 2 6 16 
120	1 2 7 9 
121	1 2 7 15 
122	1 2 7 16 
123	1 2 8 16 
124	1 2 14 16 
125	1 3 5 6 
126	1 3 6 7 
127	1 3 6 15 
128	1 3 6 16 
129	1 4 5 6 
130	1 4 5 8 
131	1 4 5 16 
132	1 4 8 16 
133	1 5 6 7 
134	1 5 6 8 
135	1 5 6 16 
136	1 5 8 14 
137	1 5 8 16 
138	1 5 14 16 
139	1 6 7 9 
140	1 6 7 15 
141	1 6 7 16 
142	1 6 8 16 
143	1 6 14 16 
144	1 8 14 16 
145	1 13 14 16 
146	2 3 5 6 
147	2 3 6 7 
148	2 3 6 15 
149	2 3 7 9 
150	2 3 7 15 
151	2 3 15 20 
152	2 4 5 6 
153	2 5 6 7 
154	2 5 6 8 
155	2 6 7 9 
156	2 6 7 15 
157	2 7 9 10 
158	2 7 9 15 
159	2 7 15 20 
160	3 4 5 6 
161	3 5 6 7 
162	3 5 6 8 
163	3 5 6 15 
164	3 6 7 9 
165	3 6 7 15 
166	3 6 15 20 
167	3 7 9 10 
168	3 7 9 15 
169	3 7 15 20 
170	4 5 6 7 
171	4 5 6 8 
172	4 5 8 14 
173	4 5 8 16 
174	4 8 13 14 
175	4 8 14 16 
176	5 6 7 8 
177	5 6 7 9 
178	5 6 7 15 
179	5 6 8 14 
180	5 6 8 16 
181	5 8 13 14 
182	5 8 14 16 
183	6 7 9 10 
184	6 7 9 15 
185	6 7 15 20 
186	7 9 10 11 
187	7 9 10 15 
188	7 9 15 20 
189	8 12 13 14 
190	8 13 14 16 
191	8 13 14 19 
192	12 13 14 16 
193	12 13 14 19 
194	12 13 18 19 
195	12 17 18 19 
196	13 14 16 19 
197	13 14 18 19 
198	13 17 18 19 
199	0 1 2 4 5 
200	0 1 4 5 6 
201	0 1 4 5 8 
202	0 1 4 5 16 
203	0 1 4 8 16 
204	0 2 4 5 6 
205	0 3 4 5 6 
206	0 4 5 6 7 
207	0 4 5 6 8 
208	0 4 5 8 14 
209	0 4 5 8 16 
210	0 4 8 13 14 
211	0 4 8 14 16 
212	1 2 3 4 5 
213	1 2 3 5 6 
214	1 2 3 5 7 
215	1 2 3 5 8 
216	1 2 3 5 15 
217	1 2 3 5 16 
218	1 2 3 6 7 
219	1 2 3 6 15 
220	1 2 3 6 16 
221	1 2 3 7 9 
222	1 2 3 7 15 
223	1 2 3 7 16 
224	1 2 3 8 16 
225	1 2 3 14 16 
226	1 2 3 15 16 
227	1 2 3 15 20 
228	1 2 4 5 6 
229	1 2 4 5 7 
230	1 2 4 5 8 
231	1 2 4 5 16 
232	1 2 4 8 16 
233	1 2 5 6 7 
234	1 2 5 6 8 
235	1 2 5 6 16 
236	1 2 5 7 8 
237	1 2 5 7 9 
238	1 2 5 7 15 
239	1 2 5 7 16 
240	1 2 5 8 14 
241	1 2 5 8 16 
242	1 2 5 14 16 
243	1 2 6 7 9 
244	1 2 6 7 15 
245	1 2 6 7 16 
246	1 2 6 8 16 
247	1 2 6 14 16 
248	1 2 7 8 16 
249	1 2 7 9 10 
250	1 2 7 9 15 
251	1 2 7 9 16 
252	1 2 7 14 16 
253	1 2 7 15 16 
254	1 2 7 15 20 
255	1 2 8 14 16 
256	1 2 13 14 16 
257	1 3 4 5 6 
258	1 3 5 6 7 
259	1 3 5 6 8 
260	1 3 5 6 15 
261	1 3 5 6 16 
262	1 3 6 7 9 
263	1 3 6 7 15 
264	1 3 6 7 16 
265	1 3 6 8 16 
266	1 3 6 14 16 
267	1 3 6 15 16 
268	1 3 6 15 20 
269	1 4 5 6 7 
270	1 4 5 6 8 
271	1 4 5 6 16 
272	1 4 5 8 14 
273	1 4 5 8 16 
274	1 4 5 14 16 
275	1 4 6 8 16 
276	1 4 8 14 16 
277	1 5 6 7 8 
278	1 5 6 7 9 
279	1 5 6 7 15 
280	1 5 6 7 16 
281	1 5 6 8 14 
282	1 5 6 8 16 
283	1 5 6 14 16 
284	1 5 8 13 14 
285	1 5 8 14 16 
286	1 5 13 14 16 
287	1 6 7 8 16 
288	1 6 7 9 10 
289	1 6 7 9 15 
290	1 6 7 9 16 
291	1 6 7 14 16 
292	1 6 7 15 16 
293	1 6 7 15 20 
294	1 6 8 14 16 
295	1 6 13 14 16 
296	1 8 13 14 16 
297	1 12 13 14 16 
298	1 13 14 16 19 
299	2 3 4 5 6 
300	2 3 5 6 7 
301	2 3 5 6 8 
302	2 3 5 6 15 
303	2 3 6 7 9 
304	2 3 6 7 15 
305	2 3 6 15 20 
306	2 3 7 9 10 
307	2 3 7 9 15 
308	2 3 7 15 20 
309	2 4 5 6 7 
310	2 4 5 6 8 
311	2 5 6 7 8 
312	2 5 6 7 9 
313	2 5 6 7 15 
314	2 5 6 8 14 
315	2 5 6 8 16 
316	2 6 7 9 10 
317	2 6 7 9 15 
318	2 6 7 15 20 
319	2 7 9 10 11 
320	2 7 9 10 15 
321	2 7 9 15 20 
322	3 4 5 6 7 
323	3 4 5 6 8 
324	3 4 5 6 15 
325	3 5 6 7 8 
326	3 5 6 7 9 
327	3 5 6 7 15 
328	3 5 6 8 14 
329	3 5 6 8 15 
330	3 5 6 8 16 
331	3 5 6 15 20 
332	3 6 7 9 10 
333	3 6 7 9 15 
334	3 6 7 15 20 
335	3 7 9 10 11 
336	3 7 9 10 15 
337	3 7 9 15 20 
338	4 5 6 7 8 
339	4 5 6 7 9 
340	4 5 6 7 15 
341	4 5 6 8 14 
342	4 5 6 8 16 
343	4 5 8 13 14 
344	4 5 8 14 16 
345	4 8 12 13 14 
346	4 8 13 14 16 
347	4 8 13 14 19 
348	5 6 7 8 9 
349	5 6 7 8 14 
350	5 6 7 8 15 
351	5 6 7 8 16 
352	5 6 7 9 10 
353	5 6 7 9 15 
354	5 6 7 15 20 
355	5 6 8 13 14 
356	5 6 8 14 16 
357	5 8 12 13 14 
358	5 8 13 14 16 
359	5 8 13 14 19 
360	6 7 9 10 11 
361	6 7 9 10 15 
362	6 7 9 15 20 
363	7 9 10 11 15 
364	7 9 10 15 20 
365	8 12 13 14 16 
366	8 12 13 14 19 
367	8 13 14 16 19 
368	8 13 14 18 19 
369	12 13 14 16 19 
370	12 13 14 18 19 
371	12 13 17 18 19 
372	13 14 16 18 19 
373	13 14 17 18 19 
374	0 1 2 3 4 5 
375	0 1 2 4 5 6 
376	0 1 2 4 5 7 
377	0 1 2 4 5 8 
378	0 1 2 4 5 16 
379	0 1 2 4 8 16 
380	0 1 3 4 5 6 
381	0 1 4 5 6 7 
382	0 1 4 5 6 8 
383	0 1 4 5 6 16 
384	0 1 4 5 8 14 
385	0 1 4 5 8 16 
