#,,,,,,,,,"generated_by='OpenQuake engine 3.11.3', start_date='2021-07-21T13:54:22', checksum=1954410440, investigation_time=1.0, risk_investigation_time=1.0"
asset_id,taxonomy,lon,lat,structural~no_damage,structural~DS1,structural~DS2,structural~DS3,structural~DS4,structural~DS5
30,pre1919rota,12.96694,42.27389,9.999718E-01,9.772042E-06,3.898439E-06,5.087531E-06,5.596892E-06,3.850020E-06
208,post1981rota,12.96694,42.27389,9.999925E-01,4.821044E-06,6.932864E-07,7.572787E-07,8.062515E-07,3.700841E-07
26,pre1919rota,12.98694,42.32417,9.999716E-01,9.660713E-06,3.887310E-06,5.114876E-06,5.714183E-06,4.063861E-06
204,post1981rota,12.98694,42.32417,9.999924E-01,4.904404E-06,7.144752E-07,7.853936E-07,8.457430E-07,3.969084E-07
43,pre1919rota,13.02028,42.24056,9.999648E-01,1.186664E-05,4.804772E-06,6.349295E-06,7.128349E-06,5.071246E-06
221,post1981rota,13.02028,42.24056,9.999905E-01,6.089545E-06,8.895639E-07,9.784478E-07,1.053737E-06,4.931205E-07
21,pre1919rota,13.02306,42.39472,9.999790E-01,7.574947E-06,2.956099E-06,3.785927E-06,4.038131E-06,2.637217E-06
199,post1981rota,13.02306,42.39472,9.999946E-01,3.527392E-06,4.951302E-07,5.350302E-07,5.595263E-07,2.492069E-07
31,pre1919rota,13.04611,42.22750,9.999630E-01,1.247257E-05,5.051510E-06,6.674785E-06,7.486361E-06,5.289470E-06
209,post1981rota,13.04611,42.22750,9.999900E-01,6.388672E-06,9.316954E-07,1.023612E-06,1.099496E-06,5.105690E-07
32,pre1919rota,13.05556,42.45222,9.999877E-01,4.960371E-06,1.832912E-06,2.230993E-06,2.165278E-06,1.151102E-06
210,post1981rota,13.05556,42.45222,9.999971E-01,1.970689E-06,2.552387E-07,2.650423E-07,2.577144E-07,9.878620E-08
18,pre1919rota,13.05972,42.40750,9.999811E-01,7.117211E-06,2.721412E-06,3.418564E-06,3.515453E-06,2.112881E-06
196,post1981rota,13.05972,42.40750,9.999954E-01,3.109552E-06,4.228450E-07,4.497131E-07,4.567235E-07,1.913137E-07
37,pre1919rota,13.06861,42.29611,9.999618E-01,1.258482E-05,5.150796E-06,6.871792E-06,7.842629E-06,5.756334E-06
215,post1981rota,13.06861,42.29611,9.999895E-01,6.668353E-06,9.870549E-07,1.092369E-06,1.188942E-06,5.673297E-07
14,pre1919rota,13.07944,42.41806,9.999831E-01,6.555296E-06,2.469572E-06,3.059195E-06,3.064576E-06,1.737139E-06
192,post1981rota,13.07944,42.41806,9.999959E-01,2.741159E-06,3.644547E-07,3.832777E-07,3.812571E-07,1.528892E-07
27,pre1919rota,13.12639,42.26611,9.999583E-01,1.384172E-05,5.646345E-06,7.508444E-06,8.513675E-06,6.131158E-06
205,post1981rota,13.12639,42.26611,9.999887E-01,7.240295E-06,1.064768E-06,1.174241E-06,1.269205E-06,5.953007E-07
36,pre1919rota,13.14611,42.21056,9.999592E-01,1.386054E-05,5.591147E-06,7.366003E-06,8.227942E-06,5.777233E-06
214,post1981rota,13.14611,42.21056,9.999890E-01,7.038424E-06,1.023027E-06,1.122336E-06,1.202564E-06,5.553670E-07
141,pre1919rota,13.20750,42.10306,9.999710E-01,1.102812E-05,4.198816E-06,5.254272E-06,5.366730E-06,3.179289E-06
319,post1981rota,13.20750,42.10306,9.999929E-01,4.763188E-06,6.439084E-07,6.828448E-07,6.898015E-07,2.855638E-07
