#,,,,,,,,,"generated_by='OpenQuake engine 3.11.3', start_date='2021-07-22T17:25:54', checksum=1954410440, investigation_time=1.0, risk_investigation_time=1.0"
asset_id,taxonomy,lon,lat,structural~no_damage,structural~DS1,structural~DS2,structural~DS3,structural~DS4,structural~DS5
30,pre1919rota,12.96694,42.27389,9.999995E-01,1.987558E-07,7.401968E-08,9.019514E-08,8.644083E-08,4.165655E-08
208,post1981rota,12.96694,42.27389,9.999999E-01,7.763385E-08,9.868685E-09,1.010247E-08,9.490358E-09,3.270304E-09
26,pre1919rota,12.98694,42.32417,9.999995E-01,1.896171E-07,7.017646E-08,8.502902E-08,8.065076E-08,3.801535E-08
204,post1981rota,12.98694,42.32417,9.999999E-01,7.289345E-08,9.187829E-09,9.366260E-09,8.731195E-09,2.960259E-09
43,pre1919rota,13.02028,42.24056,9.999994E-01,2.283491E-07,8.678932E-08,1.077150E-07,1.067170E-07,5.510381E-08
221,post1981rota,13.02028,42.24056,9.999999E-01,9.402583E-08,1.228007E-08,1.273770E-08,1.225634E-08,4.435337E-09
21,pre1919rota,13.02306,42.39472,9.999996E-01,1.755516E-07,6.434605E-08,7.728553E-08,7.215419E-08,3.295245E-08
199,post1981rota,13.02306,42.39472,9.999999E-01,6.590238E-08,8.203031E-09,8.311982E-09,7.664821E-09,2.544062E-09
31,pre1919rota,13.04611,42.22750,9.999993E-01,2.430102E-07,9.331355E-08,1.168828E-07,1.177226E-07,6.284538E-08
209,post1981rota,13.04611,42.22750,9.999998E-01,1.028120E-07,1.360759E-08,1.420552E-08,1.382705E-08,5.119166E-09
32,pre1919rota,13.05556,42.45222,9.999996E-01,1.626441E-07,5.908478E-08,7.039218E-08,6.475163E-08,2.869488E-08
210,post1981rota,13.05556,42.45222,9.999999E-01,5.974577E-08,7.349686E-09,7.404951E-09,6.758325E-09,2.197622E-09
18,pre1919rota,13.05972,42.40750,9.999996E-01,1.796473E-07,6.603318E-08,7.951492E-08,7.458065E-08,3.437829E-08
196,post1981rota,13.05972,42.40750,9.999999E-01,6.790645E-08,8.483595E-09,8.611504E-09,7.966344E-09,2.660720E-09
37,pre1919rota,13.06861,42.29611,9.999994E-01,2.258543E-07,8.569272E-08,1.061887E-07,1.049112E-07,5.386299E-08
215,post1981rota,13.06861,42.29611,9.999999E-01,9.257745E-08,1.206353E-08,1.249939E-08,1.200326E-08,4.326590E-09
14,pre1919rota,13.07944,42.41806,9.999996E-01,1.801867E-07,6.625601E-08,7.981006E-08,7.490306E-08,3.456885E-08
192,post1981rota,13.07944,42.41806,9.999999E-01,6.817223E-08,8.520906E-09,8.651384E-09,8.006568E-09,2.676334E-09
27,pre1919rota,13.12639,42.26611,9.999993E-01,2.595395E-07,1.008415E-07,1.276501E-07,1.310033E-07,7.264642E-08
205,post1981rota,13.12639,42.26611,9.999998E-01,1.133443E-07,1.523190E-08,1.601829E-08,1.579837E-08,6.004685E-09
36,pre1919rota,13.14611,42.21056,9.999992E-01,2.926825E-07,1.165616E-07,1.508308E-07,1.609518E-07,9.676361E-08
214,post1981rota,13.14611,42.21056,9.999998E-01,1.369390E-07,1.900310E-08,2.029747E-08,2.059019E-08,8.289367E-09
141,pre1919rota,13.20750,42.10306,9.999989E-01,3.628365E-07,1.538537E-07,2.104212E-07,2.473444E-07,1.813627E-07
319,post1981rota,13.20750,42.10306,9.999997E-01,2.046872E-07,3.074431E-08,3.411258E-08,3.704625E-08,1.711268E-08
17,pre1919rota,13.23556,42.19444,9.999990E-01,3.398210E-07,1.408138E-07,1.887236E-07,2.141656E-07,1.460544E-07
195,post1981rota,13.23556,42.19444,9.999997E-01,1.785984E-07,2.606488E-08,2.852340E-08,3.022035E-08,1.328146E-08
151,pre1919rota,13.25167,42.07028,9.999986E-01,3.914126E-07,1.720659E-07,2.428860E-07,3.015067E-07,2.476353E-07
329,post1981rota,13.25167,42.07028,9.999996E-01,2.479284E-07,3.893066E-08,4.412905E-08,4.979164E-08,2.486800E-08
147,pre1919rota,13.25583,42.37417,9.999993E-01,2.466212E-07,9.494214E-08,1.191949E-07,1.205415E-07,6.487741E-08
325,post1981rota,13.25583,42.37417,9.999998E-01,1.050519E-07,1.394981E-08,1.458573E-08,1.423716E-08,5.300137E-09
79,pre1919rota,13.28306,42.00667,9.999985E-01,4.073206E-07,1.843603E-07,2.669630E-07,3.462204E-07,3.116911E-07
257,post1981rota,13.28306,42.00667,9.999995E-01,2.846397E-07,4.630189E-08,5.338351E-08,6.208310E-08,3.296641E-08
153,pre1919rota,13.30194,42.29056,9.999991E-01,3.088850E-07,1.246075E-07,1.630935E-07,1.775686E-07,1.111981E-07
331,post1981rota,13.30194,42.29056,9.999998E-01,1.499483E-07,2.115216E-08,2.277128E-08,2.342671E-08,9.698242E-09
