#,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.11.3', start_date='2021-07-22T17:25:54', checksum=1954410440, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0100000,poe-0.0132162,poe-0.0174668,poe-0.0230845,poe-0.0305090,poe-0.0403213,poe-0.0532894,poe-0.0704284,poe-0.0930796,poe-0.1230160,poe-0.1625805,poe-0.2148697,poe-0.2839763,poe-0.3753090,poe-0.4960161,poe-0.6555452,poe-0.8663821,poe-1.1450285,poe-1.5132935,poe-2.0000000
12.96694,42.27389,0.00000,1.875276E-04,1.653528E-04,1.447510E-04,1.253525E-04,1.067191E-04,8.861048E-05,7.114170E-05,5.476224E-05,4.010589E-05,2.774982E-05,1.802397E-05,1.092112E-05,6.133224E-06,3.169897E-06,1.491427E-06,6.276453E-07,2.303697E-07,7.237878E-08,1.775510E-08,3.001147E-09
12.98694,42.32417,0.00000,1.838528E-04,1.619650E-04,1.416376E-04,1.225584E-04,1.043708E-04,8.688465E-05,7.017095E-05,5.455465E-05,4.051419E-05,2.851887E-05,1.888530E-05,1.167683E-05,6.691466E-06,3.528493E-06,1.694519E-06,7.284110E-07,2.705109E-07,8.367703E-08,2.035962E-08,3.512989E-09
13.02028,42.24056,0.00000,2.056405E-04,1.829662E-04,1.618365E-04,1.420447E-04,1.230776E-04,1.044218E-04,8.589099E-05,6.779146E-05,5.085178E-05,3.595614E-05,2.379970E-05,1.465781E-05,8.347643E-06,4.362967E-06,2.068680E-06,8.718987E-07,3.194446E-07,1.014657E-07,2.473317E-08,3.234621E-09
13.02306,42.39472,0.00000,1.747207E-04,1.518083E-04,1.301324E-04,1.095880E-04,9.016546E-05,7.204735E-05,5.556842E-05,4.111917E-05,2.902186E-05,1.942271E-05,1.225102E-05,7.237996E-06,3.982002E-06,2.025773E-06,9.424315E-07,3.921312E-07,1.435613E-07,4.543744E-08,1.150779E-08,1.704591E-09
13.04611,42.22750,0.00000,2.141745E-04,1.910800E-04,1.692744E-04,1.486920E-04,1.289174E-04,1.094747E-04,9.016028E-05,7.125942E-05,5.350572E-05,3.782924E-05,2.499669E-05,1.533522E-05,8.677401E-06,4.491715E-06,2.100930E-06,8.663631E-07,3.069010E-07,9.203666E-08,2.059414E-08,2.270044E-09
13.05556,42.45222,0.00000,1.617618E-04,1.368495E-04,1.130824E-04,9.074535E-05,7.027692E-05,5.220590E-05,3.698955E-05,2.487202E-05,1.580083E-05,9.438953E-06,5.275111E-06,2.742917E-06,1.317680E-06,5.778806E-07,2.290708E-07,8.037745E-08,2.444100E-08,5.711702E-09,8.895957E-10,3.883237E-11
13.05972,42.40750,0.00000,1.775760E-04,1.539676E-04,1.313443E-04,1.096645E-04,8.903838E-05,6.981823E-05,5.252114E-05,3.767031E-05,2.562059E-05,1.643862E-05,9.897705E-06,5.558831E-06,2.894302E-06,1.386632E-06,6.028943E-07,2.332676E-07,7.924352E-08,2.259598E-08,4.709771E-09,5.677934E-10
13.06861,42.29611,0.00000,2.079961E-04,1.858251E-04,1.651264E-04,1.457482E-04,1.272172E-04,1.089925E-04,9.077584E-05,7.272501E-05,5.547264E-05,3.991906E-05,2.689133E-05,1.684533E-05,9.749261E-06,5.175616E-06,2.492462E-06,1.067814E-06,3.941493E-07,1.244259E-07,3.119003E-08,4.425190E-09
13.07944,42.41806,0.00000,1.773418E-04,1.530819E-04,1.296569E-04,1.071297E-04,8.575734E-05,6.604254E-05,4.860420E-05,3.398192E-05,2.245529E-05,1.395755E-05,8.118624E-06,4.391462E-06,2.193662E-06,1.004276E-06,4.146753E-07,1.523579E-07,4.795900E-08,1.265466E-08,2.227325E-09,2.229201E-10
13.12639,42.26611,0.00000,2.279214E-04,2.051951E-04,1.831222E-04,1.617763E-04,1.409419E-04,1.203180E-04,9.977870E-05,7.958812E-05,6.043886E-05,4.327455E-05,2.895854E-05,1.797180E-05,1.026832E-05,5.354396E-06,2.516648E-06,1.040985E-06,3.617628E-07,1.018088E-07,2.036585E-08,2.056895E-09
