#,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.11.3', start_date='2021-07-21T13:54:22', checksum=1954410440, kind='rlz-377', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0100000,poe-0.0132162,poe-0.0174668,poe-0.0230845,poe-0.0305090,poe-0.0403213,poe-0.0532894,poe-0.0704284,poe-0.0930796,poe-0.1230160,poe-0.1625805,poe-0.2148697,poe-0.2839763,poe-0.3753090,poe-0.4960161,poe-0.6555452,poe-0.8663821,poe-1.1450285,poe-1.5132935,poe-2.0000000
12.96694,42.27389,0.00000,7.043461E-06,6.658087E-06,6.056572E-06,5.230307E-06,4.231448E-06,3.168767E-06,2.173784E-06,1.353921E-06,7.593830E-07,3.799574E-07,1.668592E-07,6.153343E-08,1.572073E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.98694,42.32417,0.00000,7.015900E-06,6.612252E-06,5.989583E-06,5.144261E-06,4.134312E-06,3.072396E-06,2.089756E-06,1.289529E-06,7.160172E-07,3.542899E-07,1.535074E-07,5.542944E-08,1.326825E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.02028,42.24056,0.00000,7.159199E-06,6.857227E-06,6.357788E-06,5.630837E-06,4.699645E-06,3.649894E-06,2.608422E-06,1.699090E-06,1.000359E-06,5.278515E-07,2.466522E-07,9.937904E-08,3.150055E-08,3.968805E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.02306,42.39472,0.00000,6.964538E-06,6.528222E-06,5.868759E-06,4.991573E-06,3.964729E-06,2.906862E-06,1.947745E-06,1.182455E-06,6.450633E-07,3.129664E-07,1.323558E-07,4.591418E-08,9.506191E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.04611,42.22750,0.00000,7.205150E-06,6.939893E-06,6.488495E-06,5.812480E-06,4.921505E-06,3.888063E-06,2.833137E-06,1.885437E-06,1.136177E-06,6.148545E-07,2.956362E-07,1.236182E-07,4.204254E-08,7.998493E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.05556,42.45222,0.00000,6.903687E-06,6.430786E-06,5.731635E-06,4.821970E-06,3.780361E-06,2.730717E-06,1.799839E-06,1.073304E-06,5.742680E-07,2.726102E-07,1.121372E-07,3.701155E-08,6.060961E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.05972,42.40750,0.00000,6.997164E-06,6.581398E-06,5.944928E-06,5.087462E-06,4.070819E-06,3.010018E-06,2.035898E-06,1.248661E-06,6.887632E-07,3.383166E-07,1.452798E-07,5.170495E-08,1.178650E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.06861,42.29611,0.00000,7.171202E-06,6.878594E-06,6.391217E-06,5.676800E-06,4.755185E-06,3.708876E-06,2.663471E-06,1.744244E-06,1.032909E-06,5.484735E-07,2.581343E-07,1.049976E-07,3.391680E-08,4.882025E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.07944,42.41806,0.00000,7.005781E-06,6.595559E-06,5.965380E-06,5.113421E-06,4.099777E-06,3.038408E-06,2.060358E-06,1.267183E-06,7.010885E-07,3.455250E-07,1.489849E-07,5.337860E-08,1.245092E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.12639,42.26611,0.00000,7.267389E-06,7.056145E-06,6.679367E-06,6.087949E-06,5.270967E-06,4.277753E-06,3.215113E-06,2.214551E-06,1.385436E-06,7.807943E-07,3.927419E-07,1.735679E-07,6.462730E-08,1.697469E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.14611,42.21056,0.00000,7.324300E-06,7.168150E-06,6.873145E-06,6.382670E-06,5.665016E-06,4.740908E-06,3.693674E-06,2.649245E-06,1.732544E-06,1.024453E-06,5.431019E-07,2.551356E-07,1.035264E-07,3.328245E-08,4.641643E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.20750,42.10306,0.00000,7.403130E-06,7.338493E-06,7.197207E-06,6.925429E-06,6.465350E-06,5.779930E-06,4.881274E-06,3.844361E-06,2.791418E-06,1.850436E-06,1.110368E-06,5.981306E-07,2.861119E-07,1.188512E-07,3.994568E-08,7.187891E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.23556,42.19444,0.00000,7.390729E-06,7.309859E-06,7.139095E-06,6.821770E-06,6.302830E-06,5.555971E-06,4.610015E-06,3.555587E-06,2.521215E-06,1.628218E-06,9.497394E-07,4.960773E-07,2.291235E-07,9.088049E-08,2.787931E-08,2.612721E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.25167,42.07028,0.00000,7.423278E-06,7.387756E-06,7.303133E-06,7.125723E-06,6.798403E-06,6.266947E-06,5.507543E-06,4.552574E-06,3.495710E-06,2.466361E-06,1.584053E-06,9.184887E-07,4.766436E-07,2.185024E-07,8.577902E-08,2.572586E-08,1.813819E-09,0.000000E+00,0.000000E+00,0.000000E+00
13.25583,42.37417,0.00000,7.261553E-06,7.045002E-06,6.660665E-06,6.060364E-06,5.235209E-06,4.237017E-06,3.174327E-06,2.178662E-06,1.357683E-06,7.619324E-07,3.814758E-07,1.676540E-07,6.189905E-08,1.586854E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.28306,42.00667,0.00000,7.432217E-06,7.412220E-06,7.360204E-06,7.242783E-06,7.009520E-06,6.601719E-06,5.974299E-06,5.124771E-06,4.112469E-06,3.050883E-06,2.071134E-06,1.275363E-06,7.065461E-07,3.487250E-07,1.506338E-07,5.412533E-08,1.274812E-08,0.000000E+00,0.000000E+00,0.000000E+00
13.30194,42.29056,0.00000,7.372115E-06,7.268476E-06,7.058227E-06,6.682871E-06,6.093133E-06,5.277707E-06,4.285454E-06,3.222847E-06,2.221377E-06,1.390730E-06,7.844031E-07,3.949038E-07,1.747061E-07,6.515396E-08,1.718885E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.33528,41.98917,0.00000,7.432217E-06,7.429219E-06,7.403306E-06,7.338905E-06,7.198058E-06,6.926976E-06,6.467821E-06,5.783395E-06,4.885547E-06,3.848992E-06,2.795828E-06,1.854127E-06,1.113084E-06,5.998861E-07,2.871093E-07,1.193492E-07,4.016422E-08,7.272171E-09,0.000000E+00,0.000000E+00
13.33917,42.29194,0.00000,7.385586E-06,7.298253E-06,7.116079E-06,6.781657E-06,6.241388E-06,5.473261E-06,4.512161E-06,3.453843E-06,2.428241E-06,1.553550E-06,8.970381E-07,4.633863E-07,2.113016E-07,8.234164E-08,2.428379E-08,1.282131E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.34278,42.06639,0.00000,7.432217E-06,7.427881E-06,7.399745E-06,7.330575E-06,7.180932E-06,6.896028E-06,6.418671E-06,5.714796E-06,4.801400E-06,3.758278E-06,2.709882E-06,1.782562E-06,1.060713E-06,5.662042E-07,2.680713E-07,1.098920E-07,3.603546E-08,5.688026E-09,0.000000E+00,0.000000E+00
