#,,,,,,,,,"generated_by='OpenQuake engine 3.11.3', start_date='2021-07-21T13:54:22', checksum=1954410440, investigation_time=1.0, risk_investigation_time=1.0"
asset_id,taxonomy,lon,lat,structural~no_damage,structural~DS1,structural~DS2,structural~DS3,structural~DS4,structural~DS5
30,pre1919rota,12.96694,42.27389,9.999983E-01,6.214302E-07,2.480715E-07,3.217003E-07,3.446497E-07,2.089991E-07
208,post1981rota,12.96694,42.27389,9.999996E-01,2.928345E-07,4.077143E-08,4.361960E-08,4.438074E-08,1.797731E-08
26,pre1919rota,12.98694,42.32417,9.999985E-01,5.771740E-07,2.267654E-07,2.899355E-07,3.029372E-07,1.744935E-07
204,post1981rota,12.98694,42.32417,9.999996E-01,2.600439E-07,3.546974E-08,3.757311E-08,3.755225E-08,1.467257E-08
43,pre1919rota,13.02028,42.24056,9.999977E-01,7.362679E-07,3.080908E-07,4.165133E-07,4.799238E-07,3.379499E-07
221,post1981rota,13.02028,42.24056,9.999994E-01,3.988397E-07,5.894422E-08,6.489852E-08,6.951899E-08,3.124763E-08
21,pre1919rota,13.02306,42.39472,9.999987E-01,5.123730E-07,1.968997E-07,2.468217E-07,2.489733E-07,1.334245E-07
199,post1981rota,13.02306,42.39472,9.999997E-01,2.173155E-07,2.880088E-08,3.008736E-08,2.932519E-08,1.089068E-08
31,pre1919rota,13.04611,42.22750,9.999974E-01,7.850550E-07,3.367834E-07,4.653661E-07,5.569094E-07,4.240014E-07
209,post1981rota,13.04611,42.22750,9.999993E-01,4.596437E-07,7.006139E-08,7.829134E-08,8.611564E-08,4.083112E-08
32,pre1919rota,13.05556,42.45222,9.999989E-01,4.547405E-07,1.714656E-07,2.113034E-07,2.067173E-07,1.040557E-07
210,post1981rota,13.05556,42.45222,9.999998E-01,1.834584E-07,2.371659E-08,2.447971E-08,2.334705E-08,8.300958E-09
18,pre1919rota,13.05972,42.40750,9.999986E-01,5.285420E-07,2.042175E-07,2.572406E-07,2.617427E-07,1.427902E-07
196,post1981rota,13.05972,42.40750,9.999996E-01,2.274707E-07,3.036114E-08,3.182632E-08,3.121318E-08,1.173873E-08
37,pre1919rota,13.06861,42.29611,9.999978E-01,7.167283E-07,2.972626E-07,3.987440E-07,4.532404E-07,3.103250E-07
215,post1981rota,13.06861,42.29611,9.999994E-01,3.778858E-07,5.522812E-08,6.048160E-08,6.416772E-08,2.828563E-08
14,pre1919rota,13.07944,42.41806,9.999986E-01,5.284775E-07,2.041882E-07,2.571986E-07,2.616909E-07,1.427519E-07
192,post1981rota,13.07944,42.41806,9.999996E-01,2.274296E-07,3.035479E-08,3.181923E-08,3.120546E-08,1.173524E-08
27,pre1919rota,13.12639,42.26611,9.999971E-01,8.215177E-07,3.605512E-07,5.082529E-07,6.295168E-07,5.149246E-07
205,post1981rota,13.12639,42.26611,9.999992E-01,5.178138E-07,8.117029E-08,9.193676E-08,1.035943E-07,5.160707E-08
36,pre1919rota,13.14611,42.21056,9.999964E-01,8.786772E-07,4.112464E-07,6.131903E-07,8.360932E-07,8.383975E-07
214,post1981rota,13.14611,42.21056,9.999988E-01,6.911501E-07,1.170552E-07,1.376213E-07,1.657532E-07,9.470393E-08
141,pre1919rota,13.20750,42.10306,9.999958E-01,8.746434E-07,4.314780E-07,6.735627E-07,9.928582E-07,1.175552E-06
319,post1981rota,13.20750,42.10306,9.999985E-01,8.363131E-07,1.504918E-07,1.821571E-07,2.309404E-07,1.461847E-07
17,pre1919rota,13.23556,42.19444,9.999957E-01,8.667236E-07,4.332987E-07,6.842996E-07,1.028684E-06,1.269714E-06
195,post1981rota,13.23556,42.19444,9.999984E-01,8.722791E-07,1.593067E-07,1.941945E-07,2.492514E-07,1.615813E-07
151,pre1919rota,13.25167,42.07028,9.999958E-01,8.745376E-07,4.315178E-07,6.737500E-07,9.934466E-07,1.177031E-06
329,post1981rota,13.25167,42.07028,9.999985E-01,8.368926E-07,1.506320E-07,1.823475E-07,2.312276E-07,1.464228E-07
147,pre1919rota,13.25583,42.37417,9.999978E-01,7.234910E-07,3.009747E-07,4.047986E-07,4.622581E-07,3.195417E-07
325,post1981rota,13.25583,42.37417,9.999994E-01,3.849630E-07,5.647668E-08,6.196224E-08,6.595481E-08,2.926822E-08
79,pre1919rota,13.28306,42.00667,9.999964E-01,8.777656E-07,4.098178E-07,6.097601E-07,8.284011E-07,8.242119E-07
257,post1981rota,13.28306,42.00667,9.999988E-01,6.843957E-07,1.155756E-07,1.356914E-07,1.630201E-07,9.266065E-08
153,pre1919rota,13.30194,42.29056,9.999967E-01,8.689941E-07,3.990814E-07,5.852992E-07,7.758692E-07,7.322996E-07
331,post1981rota,13.30194,42.29056,9.999989E-01,6.390051E-07,1.058070E-07,1.230455E-07,1.453319E-07,7.973193E-08
84,pre1919rota,13.33528,41.98917,9.999967E-01,8.619599E-07,3.921478E-07,5.704331E-07,7.456383E-07,6.830503E-07
262,post1981rota,13.33528,41.98917,9.999990E-01,6.134056E-07,1.004299E-07,1.161581E-07,1.358673E-07,7.304537E-08
107,pre1919rota,13.33917,42.29194,9.999968E-01,8.603087E-07,3.906312E-07,5.672567E-07,7.393214E-07,6.730865E-07
285,post1981rota,13.33917,42.29194,9.999990E-01,6.081010E-07,9.932787E-08,1.147535E-07,1.339540E-07,7.172015E-08
148,pre1919rota,13.34278,42.06639,9.999958E-01,8.737364E-07,4.318004E-07,6.751153E-07,9.977703E-07,1.187966E-06
326,post1981rota,13.34278,42.06639,9.999985E-01,8.411613E-07,1.516665E-07,1.837536E-07,2.333511E-07,1.481862E-07
108,pre1919rota,13.36222,42.09444,9.999958E-01,8.685901E-07,4.330308E-07,6.822264E-07,1.021385E-06,1.249819E-06
286,post1981rota,13.36222,42.09444,9.999984E-01,8.648324E-07,1.574621E-07,1.916647E-07,2.453774E-07,1.582868E-07
76,pre1919rota,13.38500,41.96611,9.999973E-01,8.105691E-07,3.531214E-07,4.945648E-07,6.057719E-07,4.840690E-07
254,post1981rota,13.38500,41.96611,9.999992E-01,4.986784E-07,7.746464E-08,8.735683E-08,9.766639E-08,4.787788E-08
109,pre1919rota,13.39472,42.10889,9.999958E-01,8.721181E-07,4.322836E-07,6.776247E-07,1.005881E-06,1.208794E-06
287,post1981rota,13.39472,42.10889,9.999985E-01,8.492215E-07,1.536285E-07,1.864255E-07,2.373979E-07,1.515635E-07
104,pre1919rota,13.39917,42.35250,9.999978E-01,7.266954E-07,3.027465E-07,4.077017E-07,4.666091E-07,3.240320E-07
282,post1981rota,13.39917,42.35250,9.999994E-01,3.883791E-07,5.708175E-08,6.268102E-08,6.682483E-08,2.974899E-08
73,pre1919rota,13.41167,41.94111,9.999977E-01,7.473440E-07,3.143777E-07,4.269873E-07,4.959684E-07,3.550799E-07
251,post1981rota,13.41167,41.94111,9.999993E-01,4.114609E-07,6.121073E-08,6.760716E-08,7.283015E-08,3.310951E-08
