lon lat preferred min max
13.4301 42.2389 1.1812 1.0746 1.3124
13.4306 42.2386 1.0754 0.96986 1.204
13.4311 42.2381 1.1679 1.0645 1.2973
13.4313 42.2378 1.2233 1.1264 1.3455
13.4316 42.2376 1.1693 1.0912 1.2685
13.4342 42.2366 1.0498 0.93564 1.1872
13.4347 42.2362 1.0727 0.96693 1.2021
13.4355 42.2352 1.0543 0.9127 1.2271
13.4357 42.2348 1.0352 0.9584 1.1296
13.4375 42.2338 1.0946 0.96256 1.2558
13.439 42.2331 0.92892 0.83386 1.0446
13.4405 42.2306 0.9081 0.80575 1.0309
13.4408 42.2304 0.81993 0.74976 0.90631
13.4412 42.23 0.7746 0.69142 0.87539
13.4414 42.2298 0.76719 0.70854 0.83917
13.4424 42.2292 0.81004 0.70931 0.93104
13.4429 42.2292 0.79685 0.73265 0.87628
13.444 42.2282 0.88324 0.79332 0.99359
13.4461 42.2275 0.91814 0.83908 1.0182
13.4487 42.227 0.98846 0.90975 1.0883
13.45 42.2269 0.96019 0.8397 1.1075
13.4566 42.2225 0.94351 0.83589 1.0823
13.4592 42.2207 0.7549 0.56612 0.97868
13.4592 42.2205 0.87562 0.79729 0.97263
13.4602 42.2194 0.68478 0.63465 0.74819
13.4653 42.2145 0.56195 0.5024 0.63236
13.6659 42.0134 0.47865 0.35809 0.62225
13.6782 42.0067 0.24721 0.18666 0.318
13.6904 42.0009 0.74671 0.57081 0.94732
13.6977 42.0004 0.63593 0.48323 0.81217
13.7 41.9982 0.62496 0.47587 0.79636
13.7054 41.9946 0.40878 0.31126 0.52089
13.4613 42.1893 0.028039 0.021894 0.034764
13.4645 42.1885 0.85553 0.65273 1.0877
13.4685 42.1876 0.40795 0.3142 0.51332
13.5028 42.1502 1.2619 0.94407 1.6405
13.505 42.1459 1.9926 1.4585 2.6586
13.5127 42.1332 1.9617 1.4779 2.5298
13.7153 41.9455 1.3524 1.0118 1.7582
13.4143 42.129 0.28764 0.21622 0.37191
13.4436 42.1207 0.27341 0.20733 0.35
13.451 42.1183 0.62094 0.4598 0.817
13.7876 41.8521 0.33278 0.26277 0.4078
13.7964 41.8358 0.40457 0.31216 0.50807
13.8139 41.8266 0.85784 0.64332 1.1121
13.843 41.7979 0.74173 0.57128 0.93331
13.8434 41.7941 0.67498 0.51986 0.84931
13.8851 41.783 1.0828 0.78202 1.4689
13.9037 41.7836 0.73423 0.50322 1.0678
13.9354 41.7665 0.37742 0.26586 0.52865
13.3415 42.1525 0.11006 0.0838 0.14024
13.3623 42.1364 0.80615 0.59361 1.0678
13.7629 41.9485 0.37087 0.28564 0.46665
13.7619 41.9474 0.37087 0.28564 0.46665
13.7618 41.9461 0.28186 0.21709 0.35466
13.4655 42.0661 0.69316 0.52672 0.88527
13.0231 42.35 0.42374 0.30711 0.57225
13.1149 42.273 1.7693 1.299 2.3519
13.6944 42.065 0.21304 0.16221 0.27146
