id,lon,lat,taxonomy,number
14,13.07944,42.41806,pre1919rota,1
17,13.23556,42.19444,pre1919rota,1
18,13.05972,42.4075,pre1919rota,1
21,13.02306,42.39472,pre1919rota,1
26,12.98694,42.32417,pre1919rota,1
27,13.12639,42.26611,pre1919rota,1
30,12.96694,42.27389,pre1919rota,1
31,13.04611,42.2275,pre1919rota,1
32,13.05556,42.45222,pre1919rota,1
36,13.14611,42.21056,pre1919rota,1
37,13.06861,42.29611,pre1919rota,1
43,13.02028,42.24056,pre1919rota,1
44,13.74194,41.68861,pre1919rota,1
45,13.645,41.71167,pre1919rota,1
46,13.67861,41.73889,pre1919rota,1
47,13.72583,41.62278,pre1919rota,1
48,13.7125,41.6325,pre1919rota,1
49,13.67611,41.67139,pre1919rota,1
50,13.79861,41.66056,pre1919rota,1
51,13.65639,41.74972,pre1919rota,1
52,13.86722,41.64694,pre1919rota,1
53,13.69778,41.69583,pre1919rota,1
54,13.81306,41.70917,pre1919rota,1
55,13.85028,41.67139,pre1919rota,1
56,13.61583,41.71944,pre1919rota,1
57,13.71389,41.68278,pre1919rota,1
59,13.59139,42.08194,pre1919rota,1
61,13.80444,41.99361,pre1919rota,1
62,13.4275,42.03528,pre1919rota,1
63,13.56139,41.81083,pre1919rota,1
67,13.75667,41.92306,pre1919rota,1
73,13.41167,41.94111,pre1919rota,1
76,13.385,41.96611,pre1919rota,1
79,13.28306,42.00667,pre1919rota,1
84,13.33528,41.98917,pre1919rota,1
87,13.54778,42.08583,pre1919rota,1
88,13.60194,42.06639,pre1919rota,1
89,13.47278,41.88667,pre1919rota,1
90,13.9425,41.76722,pre1919rota,1
91,13.42444,41.91444,pre1919rota,1
92,13.77639,42.03167,pre1919rota,1
93,13.62694,42.06194,pre1919rota,1
94,13.58389,41.8875,pre1919rota,1
99,13.48917,42.29417,pre1919rota,1
101,13.69389,41.95556,pre1919rota,1
104,13.39917,42.3525,pre1919rota,1
105,13.68722,41.93583,pre1919rota,1
106,13.47028,41.96083,pre1919rota,1
107,13.33917,42.29194,pre1919rota,1
108,13.36222,42.09444,pre1919rota,1
109,13.39472,42.10889,pre1919rota,1
112,13.45806,41.86528,pre1919rota,1
114,13.47556,42.28667,pre1919rota,1
116,13.83028,41.7825,pre1919rota,1
117,13.72861,41.99889,pre1919rota,1
118,13.645,41.95583,pre1919rota,1
119,13.51472,42.13583,pre1919rota,1
