#,,,,,,,,,"generated_by='OpenQuake engine 3.11.3', start_date='2021-09-02T14:05:26', checksum=1341071056, investigation_time=1.0, risk_investigation_time=1.0"
asset_id,taxonomy,lon,lat,structural~no_damage,structural~DS1,structural~DS2,structural~DS3,structural~DS4,structural~DS5
30,pre1919rota,12.96694,42.27389,9.999712E-01,1.000680E-05,3.988767E-06,5.200292E-06,5.707795E-06,3.897076E-06
208,post1981rota,12.96694,42.27389,9.999924E-01,4.916073E-06,7.052802E-07,7.693541E-07,8.169219E-07,3.725676E-07
26,pre1919rota,12.98694,42.32417,9.999709E-01,9.923379E-06,3.992566E-06,5.251318E-06,5.858484E-06,4.140449E-06
204,post1981rota,12.98694,42.32417,9.999922E-01,5.025023E-06,7.307862E-07,8.024658E-07,8.621665E-07,4.022169E-07
43,pre1919rota,13.02028,42.24056,9.999644E-01,1.206942E-05,4.875697E-06,6.429419E-06,7.190470E-06,5.071482E-06
221,post1981rota,13.02028,42.24056,9.999904E-01,6.147744E-06,8.950736E-07,9.828864E-07,1.055343E-06,4.908001E-07
21,pre1919rota,13.02306,42.39472,9.999785E-01,7.798890E-06,3.040229E-06,3.888370E-06,4.133653E-06,2.670992E-06
199,post1981rota,13.02306,42.39472,9.999945E-01,3.610975E-06,5.051760E-07,5.448595E-07,5.676669E-07,2.506052E-07
31,pre1919rota,13.04611,42.22750,9.999627E-01,1.264977E-05,5.108556E-06,6.732970E-06,7.518324E-06,5.266182E-06
209,post1981rota,13.04611,42.22750,9.999900E-01,6.424446E-06,9.335344E-07,1.023887E-06,1.096519E-06,5.062855E-07
32,pre1919rota,13.05556,42.45222,9.999874E-01,5.073235E-06,1.870289E-06,2.271110E-06,2.193466E-06,1.151543E-06
210,post1981rota,13.05556,42.45222,9.999971E-01,2.000486E-06,2.579802E-07,2.672772E-07,2.587428E-07,9.820074E-08
18,pre1919rota,13.05972,42.40750,9.999807E-01,7.298167E-06,2.786438E-06,3.494461E-06,3.580357E-06,2.129204E-06
