#,,,,,,,,,"generated_by='OpenQuake engine 3.11.3', start_date='2021-09-02T14:05:26', checksum=1341071056, investigation_time=1.0, risk_investigation_time=1.0"
asset_id,taxonomy,lon,lat,structural~no_damage,structural~DS1,structural~DS2,structural~DS3,structural~DS4,structural~DS5
30,pre1919rota,12.96694,42.27389,9.999996E-01,1.740237E-07,6.193876E-08,7.248291E-08,6.463735E-08,2.710408E-08
208,post1981rota,12.96694,42.27389,9.999999E-01,6.115306E-08,7.345361E-09,7.319350E-09,6.553487E-09,2.058179E-09
26,pre1919rota,12.98694,42.32417,9.999996E-01,1.673609E-07,5.936687E-08,6.925788E-08,6.140630E-08,2.544282E-08
204,post1981rota,12.98694,42.32417,9.999999E-01,5.834980E-08,6.976820E-09,6.936632E-09,6.185547E-09,1.926653E-09
43,pre1919rota,13.02028,42.24056,9.999995E-01,2.089033E-07,7.563036E-08,8.989625E-08,8.250507E-08,3.673733E-08
221,post1981rota,13.02028,42.24056,9.999999E-01,7.645043E-08,9.396193E-09,9.468994E-09,8.655229E-09,2.836370E-09
21,pre1919rota,13.02306,42.39472,9.999996E-01,1.561552E-07,5.507270E-08,6.390606E-08,5.609906E-08,2.276512E-08
199,post1981rota,13.02306,42.39472,9.999999E-01,5.371589E-08,6.372527E-09,6.311459E-09,5.588496E-09,1.716001E-09
31,pre1919rota,13.04611,42.22750,9.999995E-01,2.272474E-07,8.298917E-08,9.942526E-08,9.257374E-08,4.244468E-08
209,post1981rota,13.04611,42.22750,9.999999E-01,8.493038E-08,1.055897E-08,1.070023E-08,9.879953E-09,3.303981E-09
32,pre1919rota,13.05556,42.45222,9.999997E-01,1.445435E-07,5.066688E-08,5.846365E-08,5.078801E-08,2.017088E-08
210,post1981rota,13.05556,42.45222,9.999999E-01,4.903626E-08,5.770024E-09,5.691944E-09,5.003285E-09,1.513819E-09
18,pre1919rota,13.05972,42.40750,9.999996E-01,1.631029E-07,5.773052E-08,6.721363E-08,5.937115E-08,2.440945E-08
196,post1981rota,13.05972,42.40750,9.999999E-01,5.657749E-08,6.745016E-09,6.696503E-09,5.955714E-09,1.845257E-09
37,pre1919rota,13.06861,42.29611,9.999995E-01,2.133778E-07,7.741505E-08,9.219609E-08,8.491521E-08,3.808181E-08
215,post1981rota,13.06861,42.29611,9.999999E-01,7.848818E-08,9.673772E-09,9.762004E-09,8.945092E-09,2.945876E-09
14,pre1919rota,13.07944,42.41806,9.999996E-01,1.650354E-07,5.847249E-08,6.813982E-08,6.029200E-08,2.487603E-08
192,post1981rota,13.07944,42.41806,9.999999E-01,5.738012E-08,6.849889E-09,6.805095E-09,6.059572E-09,1.881992E-09
27,pre1919rota,13.12639,42.26611,9.999993E-01,2.589206E-07,9.596520E-08,1.165292E-07,1.112016E-07,5.364971E-08
205,post1981rota,13.12639,42.26611,9.999999E-01,1.004196E-07,1.273514E-08,1.303109E-08,1.224584E-08,4.243102E-09
36,pre1919rota,13.14611,42.21056,9.999992E-01,2.996409E-07,1.131722E-07,1.397832E-07,1.375555E-07,7.068314E-08
214,post1981rota,13.14611,42.21056,9.999998E-01,1.219739E-07,1.585950E-08,1.642582E-08,1.577889E-08,5.716727E-09
141,pre1919rota,13.20750,42.10306,9.999989E-01,4.062852E-07,1.615727E-07,2.089807E-07,2.232368E-07,1.356474E-07
319,post1981rota,13.20750,42.10306,9.999997E-01,1.903483E-07,2.646879E-08,2.831711E-08,2.883700E-08,1.174964E-08
17,pre1919rota,13.23556,42.19444,9.999990E-01,3.811687E-07,1.496711E-07,1.914135E-07,2.004396E-07,1.169656E-07
195,post1981rota,13.23556,42.19444,9.999998E-01,1.723263E-07,2.357519E-08,2.502448E-08,2.512808E-08,9.953379E-09
151,pre1919rota,13.25167,42.07028,9.999986E-01,4.659059E-07,1.914636E-07,2.549378E-07,2.865466E-07,1.932388E-07
329,post1981rota,13.25167,42.07028,9.999996E-01,2.402028E-07,3.482773E-08,3.801664E-08,4.013491E-08,1.758179E-08
