#,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.11.3', start_date='2021-09-02T14:05:26', checksum=1341071056, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0100000,poe-0.0132162,poe-0.0174668,poe-0.0230845,poe-0.0305090,poe-0.0403213,poe-0.0532894,poe-0.0704284,poe-0.0930796,poe-0.1230160,poe-0.1625805,poe-0.2148697,poe-0.2839763,poe-0.3753090,poe-0.4960161,poe-0.6555452,poe-0.8663821,poe-1.1450285,poe-1.5132935,poe-2.0000000
12.96694,42.27389,0.00000,1.930248E-04,1.699537E-04,1.485480E-04,1.284751E-04,1.092912E-04,9.071516E-05,7.282063E-05,5.603283E-05,4.099740E-05,2.831163E-05,1.832734E-05,1.105051E-05,6.166399E-06,3.163042E-06,1.475305E-06,6.125649E-07,2.194656E-07,6.824817E-08,1.694040E-08,2.542285E-09
12.98694,42.32417,0.00000,1.891438E-04,1.663873E-04,1.453053E-04,1.256180E-04,1.069575E-04,8.908437E-05,7.201579E-05,5.603907E-05,4.163172E-05,2.928282E-05,1.934467E-05,1.191071E-05,6.785463E-06,3.552456E-06,1.691189E-06,7.174062E-07,2.601668E-07,7.872141E-08,1.941460E-08,3.035827E-09
13.02028,42.24056,0.00000,2.118409E-04,1.882629E-04,1.662230E-04,1.455839E-04,1.258590E-04,1.065294E-04,8.739710E-05,6.877329E-05,5.140793E-05,3.620795E-05,2.386409E-05,1.462729E-05,8.285838E-06,4.304347E-06,2.026518E-06,8.476825E-07,3.074912E-07,9.643174E-08,2.323229E-08,2.876742E-09
13.02306,42.39472,0.00000,1.796638E-04,1.559190E-04,1.335520E-04,1.124632E-04,9.260169E-05,7.408409E-05,5.719625E-05,4.232677E-05,2.982811E-05,1.988935E-05,1.247156E-05,7.311182E-06,3.986363E-06,2.006724E-06,9.209602E-07,3.760678E-07,1.356508E-07,4.318787E-08,1.073343E-08,1.343619E-09
13.04611,42.22750,0.00000,2.206805E-04,1.967021E-04,1.739421E-04,1.524190E-04,1.317683E-04,1.115341E-04,9.152269E-05,7.204030E-05,5.384600E-05,3.788863E-05,2.491800E-05,1.521662E-05,8.570510E-06,4.414706E-06,2.052892E-06,8.412972E-07,2.976848E-07,8.886906E-08,1.907395E-08,2.051518E-09
13.05556,42.45222,0.00000,1.663268E-04,1.405831E-04,1.161012E-04,9.314945E-05,7.212853E-05,5.354586E-05,3.786748E-05,2.537496E-05,1.603468E-05,9.510523E-06,5.269267E-06,2.713702E-06,1.287623E-06,5.551247E-07,2.167445E-07,7.586961E-08,2.293920E-08,4.907092E-09,7.014596E-10,2.996204E-11
13.05972,42.40750,0.00000,1.826104E-04,1.581389E-04,1.347707E-04,1.124726E-04,9.132336E-05,7.162573E-05,5.387038E-05,3.859136E-05,2.617695E-05,1.671981E-05,1.000243E-05,5.572389E-06,2.875339E-06,1.362188E-06,5.828226E-07,2.211266E-07,7.490351E-08,2.142081E-08,4.078001E-09,4.471780E-10
13.06861,42.29611,0.00000,2.141775E-04,1.911330E-04,1.695640E-04,1.493846E-04,1.301430E-04,1.112838E-04,9.248908E-05,7.391608E-05,5.621758E-05,4.032296E-05,2.706356E-05,1.688214E-05,9.723582E-06,5.133491E-06,2.455692E-06,1.044619E-06,3.815663E-07,1.185767E-07,2.933104E-08,3.974507E-09
13.07944,42.41806,0.00000,1.823690E-04,1.572258E-04,1.330230E-04,1.098338E-04,8.789045E-05,6.765914E-05,4.974666E-05,3.471003E-05,2.285788E-05,1.413508E-05,8.165756E-06,4.380383E-06,2.167893E-06,9.799835E-07,3.973479E-07,1.437981E-07,4.539807E-08,1.174388E-08,1.787752E-09,1.785092E-10
13.12639,42.26611,0.00000,2.347514E-04,2.112325E-04,1.882244E-04,1.658927E-04,1.441003E-04,1.225979E-04,1.012878E-04,8.046089E-05,6.083313E-05,4.335838E-05,2.888775E-05,1.785598E-05,1.016407E-05,5.280321E-06,2.471236E-06,1.016903E-06,3.535211E-07,9.988219E-08,1.904703E-08,1.885990E-09
