#,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.11.3', start_date='2021-09-02T14:05:26', checksum=1341071056, kind='rlz-399', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0100000,poe-0.0132162,poe-0.0174668,poe-0.0230845,poe-0.0305090,poe-0.0403213,poe-0.0532894,poe-0.0704284,poe-0.0930796,poe-0.1230160,poe-0.1625805,poe-0.2148697,poe-0.2839763,poe-0.3753090,poe-0.4960161,poe-0.6555452,poe-0.8663821,poe-1.1450285,poe-1.5132935,poe-2.0000000
12.96694,42.27389,0.00000,4.026657E-06,3.862358E-06,3.588694E-06,3.187548E-06,2.670058E-06,2.082552E-06,1.495553E-06,9.794030E-07,5.799850E-07,3.079717E-07,1.449444E-07,5.895707E-08,1.904465E-08,2.741376E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.98694,42.32417,0.00000,4.012676E-06,3.837562E-06,3.550047E-06,3.134607E-06,2.606323E-06,2.015117E-06,1.432846E-06,9.281565E-07,5.431777E-07,2.847377E-07,1.320550E-07,5.267263E-08,1.635176E-08,1.727250E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.02028,42.24056,0.00000,4.065887E-06,3.934068E-06,3.703919E-06,3.350289E-06,2.872103E-06,2.303044E-06,1.707064E-06,1.157750E-06,7.121739E-07,3.940947E-07,1.942661E-07,8.378562E-08,3.003116E-08,7.014664E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.02306,42.39472,0.00000,3.990108E-06,3.798257E-06,3.489881E-06,3.053664E-06,2.510617E-06,1.915661E-06,1.342012E-06,8.552444E-07,4.917402E-07,2.528452E-07,1.146758E-07,4.434930E-08,1.284831E-08,4.311940E-10,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.04611,42.22750,0.00000,4.081557E-06,3.963760E-06,3.753367E-06,3.422664E-06,2.965205E-06,2.408303E-06,1.811655E-06,1.249091E-06,7.822812E-07,4.413875E-07,2.223049E-07,9.839577E-08,3.672203E-08,9.707703E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.05556,42.45222,0.00000,3.970554E-06,3.764844E-06,3.439707E-06,2.987446E-06,2.433812E-06,1.837366E-06,1.271866E-06,8.000123E-07,4.535190E-07,2.295996E-07,1.022507E-07,3.851239E-08,1.043847E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.05972,42.40750,0.00000,4.000777E-06,3.816733E-06,3.518003E-06,3.091281E-06,2.554840E-06,1.961351E-06,1.383499E-06,8.883518E-07,5.149597E-07,2.671570E-07,1.224285E-07,4.804019E-08,1.439259E-08,9.990432E-10,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.06861,42.29611,0.00000,4.063934E-06,3.930413E-06,3.697907E-06,3.341602E-06,2.861069E-06,2.290727E-06,1.694981E-06,1.147333E-06,7.042810E-07,3.888388E-07,1.911902E-07,8.220363E-08,2.931609E-08,6.730604E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.07944,42.41806,0.00000,4.004183E-06,3.822670E-06,3.527099E-06,3.103529E-06,2.569334E-06,1.976425E-06,1.397276E-06,8.994181E-07,5.227719E-07,2.720038E-07,1.250713E-07,4.930655E-08,1.492590E-08,1.196430E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.12639,42.26611,0.00000,4.097732E-06,3.995186E-06,3.807027E-06,3.503195E-06,3.071427E-06,2.531445E-06,1.937124E-06,1.361449E-06,8.707148E-07,5.025616E-07,2.594976E-07,1.182699E-07,4.605583E-08,1.356043E-08,6.923525E-10,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.14611,42.21056,0.00000,4.121628E-06,4.043405E-06,3.892558E-06,3.636558E-06,3.254215E-06,2.751670E-06,2.170357E-06,1.578578E-06,1.048399E-06,6.303770E-07,3.403183E-07,1.631927E-07,6.800481E-08,2.298727E-08,4.251302E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.20750,42.10306,0.00000,4.155749E-06,4.117929E-06,4.035776E-06,3.878730E-06,3.614530E-06,3.223377E-06,2.713727E-06,2.129328E-06,1.539587E-06,1.015834E-06,6.064740E-07,3.248988E-07,1.544508E-07,6.364913E-08,2.107996E-08,3.517286E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.23556,42.19444,0.00000,4.146820E-06,4.097517E-06,3.994761E-06,3.806292E-06,3.502077E-06,3.069932E-06,2.529689E-06,1.935310E-06,1.359803E-06,8.694020E-07,5.016414E-07,2.589307E-07,1.179630E-07,4.590979E-08,1.349936E-08,6.699082E-10,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.25167,42.07028,0.00000,4.165338E-06,4.141024E-06,4.084673E-06,3.969749E-06,3.763482E-06,3.437679E-06,2.984792E-06,2.430761E-06,1.834283E-06,1.269128E-06,7.978757E-07,4.520535E-07,2.287162E-07,1.017827E-07,3.829451E-08,1.034932E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.25583,42.37417,0.00000,4.095239E-06,3.990284E-06,3.798559E-06,3.490339E-06,3.054274E-06,2.511331E-06,1.916395E-06,1.342675E-06,8.557711E-07,4.921078E-07,2.530707E-07,1.147974E-07,4.440688E-08,1.287229E-08,4.399664E-10,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
